"Cells"	"Patients"
"F11_P2_M66_L001"	"P12"
"F11_P4_M66_L001"	"P12"
"F1_P1_M66_L001"	"P12"
"F1_P2_M66_L001"	"P12"
"F1_P4_M66_L001"	"P12"
"F3_P1_M66_L001"	"P12"
"F3_P4_M66_L001"	"P12"
"F3_P5_M66_L001"	"P12"
"F4_P4_M66_L001"	"P12"
"F5_P2_M66_L001"	"P12"
"F6_P5_M66_L001"	"P12"
"F7_P2_M66_L001"	"P12"
"F8_P1_M66_L001"	"P12"
"F8_P2_M66_L001"	"P12"
"F8_P5_M66_L001"	"P12"
"F9_P4_M66_L001"	"P12"
"F9_P5_M66_L001"	"P12"
"G10_P4_M66_L001"	"P12"
"G10_P5_M66_L001"	"P12"
"G11_P4_M66_L001"	"P12"
"G12_P1_M66_L001"	"P12"
"G12_P5_M66_L001"	"P12"
"G1_P1_M66_L001"	"P12"
"G1_P4_M66_L001"	"P12"
"G2_P1_M66_L001"	"P12"
"G2_P2_M66_L001"	"P12"
"G3_P1_M66_L001"	"P12"
"G4_P1_M66_L001"	"P12"
"G4_P2_M66_L001"	"P12"
"G4_P4_M66_L001"	"P12"
"G4_P5_M66_L001"	"P12"
"G5_P1_M66_L001"	"P12"
"G5_P2_M66_L001"	"P12"
"G5_P5_M66_L001"	"P12"
"G6_P5_M66_L001"	"P12"
"G7_P2_M66_L001"	"P12"
"G7_P5_M66_L001"	"P12"
"G8_P1_M66_L001"	"P12"
"G8_P5_M66_L001"	"P12"
"G9_P2_M66_L001"	"P12"
"G9_P4_M66_L001"	"P12"
"H10_P5_M66_L001"	"P12"
"H11_P1_M66_L001"	"P12"
"H11_P4_M66_L001"	"P12"
"H12_P1_M66_L001"	"P12"
"H12_P2_M66_L001"	"P12"
"H12_P4_M66_L001"	"P12"
"H1_P4_M66_L001"	"P12"
"H2_P2_M66_L001"	"P12"
"H2_P4_M66_L001"	"P12"
"H3_P2_M66_L001"	"P12"
"H5_P2_M66_L001"	"P12"
"H6_P4_M66_L001"	"P12"
"H6_P5_M66_L001"	"P12"
"H7_P1_M66_L001"	"P12"
"H7_P2_M66_L001"	"P12"
"H7_P4_M66_L001"	"P12"
"H8_P1_M66_L001"	"P12"
"H8_P2_M66_L001"	"P12"
"H9_P4_M66_L001"	"P12"
"A10_P5_M9_L001"	"P15"
"A2_P1_M9_L001"	"P15"
"A3_P2_M9_L001"	"P15"
"A4_P5_M9_L001"	"P15"
"A6_P1_M9_L001"	"P15"
"A6_P2_M9_L001"	"P15"
"A7_P2_M9_L001"	"P15"
"A8_P5_M9_L001"	"P15"
"A9_P1_M9_L001"	"P15"
"B10_P2_M9_L001"	"P15"
"B11_P5_M9_L001"	"P15"
"B2_P3_M9_L001"	"P15"
"B2_P5_M9_L001"	"P15"
"B4_P5_M9_L001"	"P15"
"B6_P3_M9_L001"	"P15"
"B7_P2_M9_L001"	"P15"
"B8_P5_M9_L001"	"P15"
"B9_P5_M9_L001"	"P15"
"C10_P2_M9_L001"	"P15"
"C10_P3_M9_L001"	"P15"
"C12_P2_M9_L001"	"P15"
"C12_P3_M9_L001"	"P15"
"C1_P2_M9_L001"	"P15"
"C1_P5_M9_L001"	"P15"
"C2_P3_M9_L001"	"P15"
"C2_P5_M9_L001"	"P15"
"C3_P1_M9_L001"	"P15"
"C3_P2_M9_L001"	"P15"
"C3_P5_M9_L001"	"P15"
"C4_P2_M9_L001"	"P15"
"C4_P3_M9_L001"	"P15"
"C4_P5_M9_L001"	"P15"
"C6_P1_M9_L001"	"P15"
"C8_P1_M9_L001"	"P15"
"D10_P2_M9_L001"	"P15"
"D11_P2_M9_L001"	"P15"
"D12_P3_M9_L001"	"P15"
"D1_P3_M9_L001"	"P15"
"D2_P3_M9_L001"	"P15"
"D2_P5_M9_L001"	"P15"
"D4_P2_M9_L001"	"P15"
"D4_P3_M9_L001"	"P15"
"D5_P3_M9_L001"	"P15"
"D8_P5_M9_L001"	"P15"
"D9_P1_M9_L001"	"P15"
"D9_P2_M9_L001"	"P15"
"E10_P2_M9_L001"	"P15"
"E12_P2_M9_L001"	"P15"
"E12_P3_M9_L001"	"P15"
"E1_P3_M9_L001"	"P15"
"E1_P5_M9_L001"	"P15"
"E2_P3_M9_L001"	"P15"
"E3_P5_M9_L001"	"P15"
"E4_P2_M9_L001"	"P15"
"E5_P1_M9_L001"	"P15"
"E5_P2_M9_L001"	"P15"
"E7_P2_M9_L001"	"P15"
"E8_P3_M9_L001"	"P15"
"E8_P5_M9_L001"	"P15"
"E9_P5_M9_L001"	"P15"
"F10_P5_M9_L001"	"P15"
"F11_P1_M9_L001"	"P15"
"F11_P2_M9_L001"	"P15"
"F11_P3_M9_L001"	"P15"
"F12_P5_M9_L001"	"P15"
"F1_P3_M9_L001"	"P15"
"F1_P5_M9_L001"	"P15"
"F2_P1_M9_L001"	"P15"
"F2_P2_M9_L001"	"P15"
"F2_P5_M9_L001"	"P15"
"F4_P2_M9_L001"	"P15"
"F4_P3_M9_L001"	"P15"
"F5_P1_M9_L001"	"P15"
"F5_P3_M9_L001"	"P15"
"F6_P1_M9_L001"	"P15"
"F9_P3_M9_L001"	"P15"
"G10_P1_M9_L001"	"P15"
"G10_P5_M9_L001"	"P15"
"G11_P1_M9_L001"	"P15"
"G11_P2_M9_L001"	"P15"
"G12_P5_M9_L001"	"P15"
"G1_P2_M9_L001"	"P15"
"G1_P5_M9_L001"	"P15"
"G3_P1_M9_L001"	"P15"
"G3_P2_M9_L001"	"P15"
"G4_P2_M9_L001"	"P15"
"G4_P3_M9_L001"	"P15"
"G5_P1_M9_L001"	"P15"
"G5_P2_M9_L001"	"P15"
"G6_P3_M9_L001"	"P15"
"G8_P5_M9_L001"	"P15"
"G9_P2_M9_L001"	"P15"
"H10_P1_M9_L001"	"P15"
"H11_P1_M9_L001"	"P15"
"H11_P3_M9_L001"	"P15"
"H3_P5_M9_L001"	"P15"
"H5_P3_M9_L001"	"P15"
"H6_P2_M9_L001"	"P15"
"H8_P1_M9_L001"	"P15"
"H8_P2_M9_L001"	"P15"
"A10_P1_M53_L001"	"P20"
"A10_P2_M53_L001"	"P20"
"A11_P1_M53_L001"	"P20"
"A11_P2_M53_L001"	"P20"
"A12_P1_M53_L001"	"P20"
"A12_P3_M53_L001"	"P20"
"A12_P4_M53_L001"	"P20"
"A2_P2_M53_L001"	"P20"
"A2_P3_M53_L001"	"P20"
"A2_P4_M53_L001"	"P20"
"A3_P1_M53_L001"	"P20"
"A3_P4_M53_L001"	"P20"
"A4_P1_M53_L001"	"P20"
"A5_P1_M53_L001"	"P20"
"A5_P2_M53_L001"	"P20"
"A5_P4_M53_L001"	"P20"
"A6_P1_M53_L001"	"P20"
"A6_P4_M53_L001"	"P20"
"A7_P4_M53_L001"	"P20"
"A8_P4_M53_L001"	"P20"
"A9_P1_M53_L001"	"P20"
"A9_P4_M53_L001"	"P20"
"B10_P1_M53_L001"	"P20"
"B10_P3_M53_L001"	"P20"
"B11_P2_M53_L001"	"P20"
"B11_P3_M53_L001"	"P20"
"B12_P1_M53_L001"	"P20"
"B12_P2_M53_L001"	"P20"
"B12_P3_M53_L001"	"P20"
"B1_P2_M53_L001"	"P20"
"B3_P3_M53_L001"	"P20"
"B4_P1_M53_L001"	"P20"
"B4_P2_M53_L001"	"P20"
"B4_P4_M53_L001"	"P20"
"B5_P2_M53_L001"	"P20"
"B5_P3_M53_L001"	"P20"
