Cells	Patients
C7_P5_MMD9_L001	P17
C8_P2_MMD9_L001	P17
C8_P3_MMD9_L001	P17
C9_P1_MMD9_L001	P17
C9_P3_MMD9_L001	P17
D11_P2_MMD9_L001	P17
D11_P3_MMD9_L001	P17
D11_P5_MMD9_L001	P17
D12_P1_MMD9_L001	P17
D12_P2_MMD9_L001	P17
D12_P5_MMD9_L001	P17
D1_P1_MMD9_L001	P17
D1_P3_MMD9_L001	P17
D1_P5_MMD9_L001	P17
D2_P1_MMD9_L001	P17
D2_P2_MMD9_L001	P17
D3_P1_MMD9_L001	P17
D3_P3_MMD9_L001	P17
D4_P2_MMD9_L001	P17
D4_P5_MMD9_L001	P17
D5_P1_MMD9_L001	P17
D5_P3_MMD9_L001	P17
D6_P3_MMD9_L001	P17
D8_P1_MMD9_L001	P17
E11_P5_MMD9_L001	P17
E12_P1_MMD9_L001	P17
E12_P2_MMD9_L001	P17
E12_P3_MMD9_L001	P17
E12_P5_MMD9_L001	P17
E1_P1_MMD9_L001	P17
E1_P5_MMD9_L001	P17
E2_P1_MMD9_L001	P17
E2_P3_MMD9_L001	P17
E3_P2_MMD9_L001	P17
E3_P3_MMD9_L001	P17
E3_P5_MMD9_L001	P17
E4_P1_MMD9_L001	P17
E4_P2_MMD9_L001	P17
E4_P5_MMD9_L001	P17
E5_P5_MMD9_L001	P17
E6_P1_MMD9_L001	P17
E6_P3_MMD9_L001	P17
E7_P1_MMD9_L001	P17
E8_P5_MMD9_L001	P17
E9_P3_MMD9_L001	P17
E9_P5_MMD9_L001	P17
F10_P5_MMD9_L001	P17
F11_P1_MMD9_L001	P17
F11_P3_MMD9_L001	P17
F11_P5_MMD9_L001	P17
F12_P1_MMD9_L001	P17
F12_P3_MMD9_L001	P17
F1_P5_MMD9_L001	P17
